content|datetime|tags|title
"TANGERANG SELATAN, KOMPAS.com - Pemerintah Kota (Pemkot) Tangerang Selatan melalui Satuan Gugus Tugas kembali mengumumkan jumlah kasus Covid-19 di Tangerang Selatan, Sabtu (6/6/2020).Angka kasus Covid-19 itu pun terus mengalami perubahan setiap hari baik, jumlah orang dalam pemantauan (ODP), pasien dalam pengawasan (PDP), positif, hingga meninggal dunia. ""Hari ini ada 2.057 ODP, 716 PDP, 271 positif, 26 meninggal, dan 89 sembuh,"" kata Juru Bicara Satuan Gugus Tugas Penanganan Covid-19, Tulus Muladiyono, Sabtu (6/6/2020).Baca juga: Pilkada Tangsel, Keponakan Prabowo Dikabarkan Akan Bersanding dengan SekdaTulus menjelaskan, angka kasus ODP tersebut meningkat 10 kasus dari hari sebelumnya yang hanya 2.047 kasus. Kenaikan 16 kasus juga terjadi pada PDP dari sebelumnya ada 700 kasus. ""Untuk kasus ODP yang masih dipantau masih ada 309 orang. Untuk yang dirawat masih ada 318 orang,"" ucap Tulus. Adapun untuk angka kasus positif tidak mengalami perubahan yang tidak mengalami penambahan. ""Sembuh dari positif Covid-19 itu tadi, sampai saat ini ada 89 orang dan 158 orang masih di rawat,"" tutupnya."|1591453380000|kasus corona tangsel,update corona tangsel|UPDATE Covid-19 6 Juni: 271 Positif, 36 Meninggal, 89 Sembuh di Tangsel
KOMPAS.com - Babak pertama laga  Bayer Leverkusen vs  Bayern Muenchen pada lanjutan  Bundesliga pekan ke-30 berkesudahan dengan skor 1-3 untuk keunggulan tim tamu.Leverkusen menjamu Bayern Muenchen di Stadion BayArena pada lanjutan kompetisi kasta teratas  Liga Jerman, Sabtu (6/6/2020) malam WIB.Leverkusen lebih dulu unggul melalui gol Lucas Alario pada menit ke-10.Namun, Bayern Muenchen mampu membalas tiga gol sebelum jeda. Ketiga gol klub berjuluk Die Roten pada babak pertama masing-masing dicetak oleh  Kingsley Coman (28'), Leon Goretzka (42'), dan Serge Gnabry (45'+1).Baca juga: Link Live Streaming Leverkusen Vs Bayern Muenchen, Kick-off 20.30 WIBJalannya pertandinganBaik Peter Bosz maupun Hans-Dieter Flick sama-sama membuat sejumlah perubahan dalam komposisi starting XI masing-masing tim.Di kubu tuan rumah, Bosz terpaksa mengubah komposisi lini depan Leverkusen menyusul absennya Kai Havertz yang mengalami cedera otot.Sementara itu, Hansi Flick melakukan perubahan di lini belakang Bayern Muenchen. Bek senior Jerome Boateng kembali mendapat kepercayaan bermain sejak menit pertama, berduet dengan David Alaba.Di lini depan, Robert Lewandowski menjadi tumpuan dengan dukungan Kingsley Coman, Thomas Mueller, dan Serge Gnabry.Baca juga: Leverkusen Vs Bayern, Statistik Menarik dari Kedua Tim Meski tanpa Havertz, Leverkusen tetap bermain agresif pada awal babak pertama. Permainan agresif tim tuan rumah langsung membuahkan hasil ketika laga baru berjalan 10 menit.Lucas Alario dengan cerdik mampu mengelabuhi jebakan offside lini belakang FC Bayern, sebelum menaklukkan Manuel Neuer dengan sepakan kaki kanan.Para pemain Bayern sempat melancarkan protes atas gol Alario karena dianggap offside. Akan tetapi, wasit Manuel Graefe yang memimpin jalannya laga tetap mengesahkan gol Alario.Tertinggal oleh gol cepat tim tuan rumah, Bayern tetap bermain tenang dan mencoba menguasai permainan.Baca juga: Leverkusen Vs Bayern, Misi Balas Dendam Die RotenBayern mampu membalas pada menit ke-28 melalui Kingsley Coman. Umpan terobosan Leon Goretzka mampu diselesaikan secara sempurna oleh Coman. Skor berubah menjadi imbang 1-1.Bayern Muenchen mampu membalikkan keadaan pada tiga menit sebelum turun minum. Tendangan keras kaki kiri Leon Goretzka dari luar kotak penalti seusai menerima sodoran Thomas Mueller menjebol gawang Hradecky untuk kali kedua.Bayern Muenchen menutup babak pertama dengan keunggulan 3-1 atas Bayer Leverkusen setelah Serge Gnabry mencetak gol pada masa injury time, tepatnya menit ke-45+1.Susunan pemain Bayer  Leverkusen vs Bayern MuenchenBayer Leverkusen (3-4-3): 1-Lukas Hradecky; 6-Aleksandar Dragovic, Sven Bender, 12-Edmond Tapsoba; 11-Nadiem Amiri, 20-Charles Aranguiz, 15-Julian Baumgartlinger, 38-Karim Bellarabi; 9-Leon Bailey, 19-Moussa Diaby, 13-Lucas AlarioPelatih: Peter BoszBayern Muenchen: (4-2-3-1): 1-Manuel Neuer; 5-Benjamin Pavard, 17-Jerome Boateng, 27-David Alaba, 19-Alphonso Davies; 32-Joshua Kimmich, 18-Leon Goretzka; 29-Kingsley Coman, 25-Thomas Mueller, 22-Serge Gnabry; 9-Robert LewandowskiPelatih: Hans-Dieter Flick|1591453620000|Bayern Muenchen,Bayer Leverkusen,Kingsley Coman,Bundesliga,Liga Jerman,Leverkusen vs Bayern|Babak I Leverkusen Vs Bayern Muenchen, Die Roten Unggul 3-1
" MANADO, KOMPAS.com - Jenazah pasien dalam pengawasan (PDP) yang dijemput paksa di Rumah Sakit Gereja Masehi Injili di Minahasa (GMIM) Pancaran Kasih Kota  Manado, Sulawesi Utara, pada Senin (1/6/2020) lalu, dinyatakan positif terjangkit virus corona (Covid-19)Hasil pemeriksaan laboratorium PDP yang meninggal tersebut baru keluar dan telah diumumkan oleh Gugus Tugas Percepatan Penanganan Covid-19 Sulut lewat rilis resmi, Sabtu (6/6/2020).PDP tersebut bagian dari 79 kasus baru yang bertambah di Sulut hari ini.PDP yang sudah meninggal itu masuk kasus 469.Baca juga: Klaster Pasar Pinasungkulan Manado Sumbang 31 Pasien Positif CoronaJuru Bicara Gugus Tugas Percepatan Penanganan Covid-19 Sulut Steaven Dandel membenarkan bahwa kasus 469 ini adalah PDP yang meninggal dan dijemput paksa di RS Pancaran Kasih Manado beberapa waktu lalu.""Iya,"" kata Steven lewat pesan singkat saat dikonfirmasi, Sabtu malam.Ditanya bagaimana langkah gugus tugas selanjutnya, lanjut Steaven, pihaknya akan berkoordinasi dengan Gugus Tugas Manado.""Akan dilakukan tracing dan pemeriksaan kepada semua yang kontak dengan jenazah PDP tersebut,"" ujar Steaven.Sebelumnya diberitakan, PDP yang meninggal adalah warga Kelurahan Ternate Baru, Lingkungan I, Kecamatan Singkil, Kota Manado, yang berusia 52 tahun.Pasien itu meninggal pada Senin (1/6/2020) lalu.Sejumlah orang yang masih keluarga pasien itu menolak pemakaman berlangsung sesuai prosedur Covid-19.Saat itu jenazah masih berada di ruang pemulasaran RS Pancaran Kasih.Baca juga: Sepuluh Pasien Baru Covid-19 di Sulut, 1 dari Klaster Pasar Pinasungkulan ManadoKeributan pun terjadi di RS Pancaran Kasih karena sejumlah orang merangsek masuk dan membuka paksa pintu ruang jenazah dan mengambil pasien tersebut.Jenazah pasien berhasil dibawa keluar dari ruang jenazah dan langsung menuju rumah duka.Tidak diketahui keluarga PDP itu memakamkan sesuai prosedur Covid-19 atau tidak.Ada keributan itu dibenarkan Direktur Utama RS GMIM Pancaran Kasih Kota Manado Frangky Kambey.Namun, Frangky membantah telah mengizinkan pihak keluarga membawa pulang jenazah pasien untuk dimakamkan tanpa sesuai prosedur Covid-19.""Kami tidak membolehkan (jenazah dibawa pulang). Kalau kami bolehkan, jelas kami bisa diproses melanggar protokol penanganan jenazah Covid-19,"" kata Frangky saat dikonfirmasi  via telepon, Selasa (2/6/2020)."|1591462440000|manado,positif corona,jemput paksa pasien PDP|Jenazah PDP yang Dijemput Paksa Positif Corona, Semua Kontak Akan Diperiksa
"KOMPAS.com – Pariwisata lokal dan perjalanan domestik diprediksi memimpin pemulihan di Uni Emirat Arab (UEA) dan Gulf Cooperation Council (GCC) dari virus corona (Covid-19).Berdasarkan temuan dari Arabian Travel Market (ATM), mengutip Hub.wtm.com, hal tersebut diprediksi akan terjadi karena pelonggaran pembatasan lockdown sudah terlihat.Hasil temuan ATM yang bekerjasama dengan Colliers International menunjukkan, persentase pemesanan ke Abu Dhabi dalam radius 48 km meningkat.Baca juga: Bagaimana Tren Staycation Selama Era New Normal?Sebelumnya, persentase pemeasanan hanya 20 persen saja pada Januari 2020. Namun persentase mengalami peningkatan menjadi 43 persen pada Maret.Sementara di Dubai, persentase pemesanan meningkat dari 19 persen menjadi 36 persen.Berdasarkan penelitian oleh Sojern, staycation diperkirakan akan menjadi pilihan jenis wisata paling populer. Terlebih, pada perjalanan liburan jangka pendek hingga menengah.Data menunjukkan, pemesanan hotel ke Abu Dhabi dalam radius 48 km menyumbang 78 persen dari seluruh pemesanan pada April.Sementara itu, perjalanan domestik dari Dubai menyumbang 91 persen dari pencarian dan pemesanan dalam radius yang sama.Baca juga: Ada Visa Turis, Yuk Ketahui 5 Wisata Sejarah di Arab Saudi“Krisis kesehatan global Covid-19 telah memberi dampak dalam perjalanan dunia, pariwisata, acara, dan kegiatan rekreasi. Banyak orang terpaksa harus membatalkan atau menangguhkan rencana berlibur mereka pada paruh pertama 2020,” kata Direktur Pameran ATM, Danielle Curtis, mengutip Hub.wtm.com.“Wisatawan masih ingin berlibur, namun kesehatan menjadi prioritas utama. Alhasil, tren staycation diperkirakan akan berkembang dalam beberapa bulan mendatang. Masyarakat ingin keluar dari rumah selama beberapa hari ke lokasi yang familiar bagi mereka sementara penerbangan dihentikan, dan pembatasan perjalanan internasional masih diberlakukan,” lanjutnya. Ada gen Z dalam segmentasi pasar pariwisataMenurut Colliers, keluarga dan solo traveler diprediksi akan menjadi salah satu dari segmen pasar utama untuk mulai bepergian dan melakukan pemesanan.Baca juga: Jelajah Al Zubarah, Mesin Waktu Menuju Masa Lalu QatarSementara itu, millennial dan gen Z digadang-gadang sebagai yang paling bersemangat untuk bepergian.Sebab, mereka mencari perubahan pemandangan usai melewati periode lockdown yang panjang di seluruh dunia.Dalam mempersiapkan pemulihan perjalanan dan pariwisata--baik dalam skala lokal, regional, maupun internasional – merupakan hal yang penting bagi perusahaan perhotelan untuk memberi calon pengujung ketenangan pikiran.Hal tersebut dapat dilakukan dengan mengimplementasikan, serta memperlihatkan kebersihan mereka secara virtual.Pihak perhotelan juga bisa memperlihatkan prosedur pembersihan secara menyeluruh yang dilakukan di seluruh properti miliknya.Penawaran yang menarik bisa merangsang minat berliburMengimplementasikan teknologi mutakhir, seperti memberikan para tamu tur virtual 3-dimensi di properti dan fasilitas, dapat membantu hotel lebih menonjol dari yang lain.Baca juga: Wisata Gurun sampai Gunung di OmanTerlebih jika mereka juga memberi calon tamu pemesanan daring yang disesuaikan.""Hal yang penting bagi hotel untuk menambah nilai kepada penawaran yang telah ada, dengan insentif seperti diskon F&B bagi tamu, peningkatan gratis, dan pemesanan yang fleksibel jika ada perubahan akibat kendala pribadi,” kata Curtis.“Selain itu, pembaharuan program loyalitas dengan penawaran yang ditingkatkan dan poin guna merangsang permintaan melalui basis pelanggan hotel yang sudah ada,” lanjutnya."|1591453680000|new normal pariwisata,new normal staycation,staycation di Arab|Staycation Diprediksi Jadi Tren di Negara-negara Arab
"JAKARTA, KOMPAS.com - Mal Central Park, satu di antara mal di kawasan barat ibu kota bersiap menghadapi kondisi new normal.Assistant GM Marcomm Central Park Silviyanti Dwi Aryati menyebut, saat ini Mal Central Park tengah menyusun protokol kesehatan selama pembatasan sosial berskala besar (PSBB) transisi menuju new normal yang diterapkan Pemprov DKI Jakarta.Menurut Silviyanti, protokol ini yang akan menjadi acuan bagi para tenant nantinya.Baca juga: Adaptasi New Normal, Mal di Bekasi Mulai Dibuka Bertahap Ia mencontohkan protokol tersebut mulai dari menyediakan hand sanitizer, alat pengukur suhu tubuh, pengaturan jarak fisik di lift, eskalator, antrean, hingga wajib menggunakan masker.“Kami juga akan meningkatkan kebersihan di dalam mal dengan melakukan penyemprotan disinfektan, pembersihan dan pengecekan rutin oleh pihak housekeeping di fasilitas umum,” kata Silviyanti dalam keterangannya, Sabtu (6/6/2020).Silviyanti menambahkan, pihak mal Central Park juga akan terus memperbarui semua protokol dan kebijakan mal, apabila kedepannya ada anjuran atau peraturan tambahan dari pemerintah.Persiapan tersebut dilakukan dalam rangka perencanaan pembukaan mal dalam waktu dekat ini.“Iya betul kami sedang melakukan perencanaan dan persiapan untuk pembukaan mal kembali,” pungkasnya.Sebelumnya, Gubernur DKI Jakarta Anies Baswedan tetap memperpanjang status PSBB bagi ibu kota yang dibarengi dengan fase transisi, atau membuka bidang kegiatan secara bertahap.Pada pekan kedua masa transisi, beberapa kegiatan usaha akan dibuka termasuk pertokoan/retail, pasar, pusat perbelanjaan, mall dan lainnya.Ia menekankan ada aturan, soal ketentuan pembatasan 50 persen pengunjung yang harus dipatuhi.""Kami tidak segan-segan untuk mencabut izin, untuk menutup tempat apabila melakukan pelanggaran,"" ucap Anies di Balai Kota DKI, Jakarta Pusat, Jumat (5/6/2020).Artikel ini telah tayang di Tribunnews.com dengan judul PSBB Transisi, Begini Kesiapan Mal di Jakarta Jelang Beroperasi."|1591452780000|mal dibuka psbb transisi,protokol mal dibuka psbb transisi|PSBB Transisi di Jakarta, Begini Protokol yang Akan Diterapkan Mal Central Park
"KOMPAS.com - Pebalap  Monster Energy Yamaha,  Valentino Rossi, yang kini sudah berusia 41 dinilai masih kompetitif untuk bersaing di  MotoGP.Penilaian itu diutarakan pebalap Moto2 milik  Sky Racing Team VR46, Marco Bezzecchi.Sky Racing Team VR46 adalah tim balap yang didirikan dan dibina langsung oleh Valentino Rossi.Selama MotoGP ditangguhkan karena virus corona, Bezzecchi dan pebalap Sky Racing VR46 lainnya masih berlatih bersama Rossi.Dari pengalaman itu, Bezzecchi menilai Rossi masih bisa bersaing di MotoGP.Bezzecchi berharap Rossi bisa menyadari hal itu sehingga menunda keinginan pensiun.""Dia sangat termotivasi dan selalu bersemangat. Ketika kami berlatih, performanya masih presis seperti sebelumnya,"" kata Bezzecchi, dilansir BolaSport.com dari Corse di Moto.""Sebagai fan, saya berharap dia tak pernah pensiun. Dia masih bisa membuktikkan dirinya sanggup untuk menang. Dia hanya harus menemukan kecocokan dengan motor dan timnya,"" tutur Bezzecchi menambahkan.Baca juga: Rossi Tegaskan 2021 Tak Akan Menjadi Tur Perpisahannya di MotoGPLebih lanjut, Bezzecchi berharap Rossi menahan diri untuk pensiun setidaknya selama dua tahun ke depan.Pasalnya, Bezzecchi memiliki mimpi bersaing Rossi yang merupakan guru dan idolanya dalam balapan MotoGP.""Rossi masih bisa menang melawan pembalap-pembalap muda. Saya berharap dia bertahan satu tahun lagi, lebih baik lagi kalau dua tahun,"" ucap Bezzecchi.""Jadi jika saya bisa segera [naik ke kelas MotoGP], saya bisa melakoni beberapa balapan bersama dia dan itu akan menjadi hal yang hebat,"" ujar Bezzecchi menambahkan.Masa depan Rossi hingga saat ini masih belum menemukan kejelasan.Di Monster Energy Yamaha, kontrak Rossi akan habis pada akhir musim 2020.Rossi tidak bisa bertahan di Monster Energy Yamaha yang sudah mengontrak Fabio Quartararo untuk musim depan.Terbaru, tim satelit Petronas Yamaha SRT secara terbuka menyatakan tertarik bekerja sama dengan Rossi.Baca juga: Valentino Rossi Sempat Ingin Pensiun Saat Alami Masa Sulit di DucatiPetronas Yamaha SRT dikabarkan sudah menyiapkan kontrak berdurasi dua tahun untuk Rossi sampai 2022.Meski pada awalnya tidak tertarik pindah ke tim satelit, Rossi sudah memuji kualitas dan perkembangan Petronas Yamaha SRT dalam beberpa tahun terakhir.Namun, Rossi disebut masih menunda menanda tangani kontrak yang ditawarkan Petronas Yamaha SRT. MotoGP musim 2020 yang masih ditunda hingga saat ini menjadi alasan Rossi.Rossi dikabarkan ingin melihat kemampuannya terlebih dahulu dengan mengikuti beberapa balapan  MotoGP 2020 sebelum menanda tangani kontrak.MotoGP 2020 kemungkinan akan dibuka dengan dua seri di sirkuit Jerez, Spanyol, pada 19 dan 24 Juli.Proposal dua balapan itu sudah diajukan Dorna Sports dan kini tinggal menunggu izin dari pemerintah Spanyol.Sejauh ini, sudah ada empat seri MotoGP 2020 yang dibatalkan karena pandemi virus corona. Empat seri yan dibatalkan adalah GP Qatar, GP Jerman, GP Belanda, dan GP Finlandia. (Ardhianto Wahyu Indraputra)"|1591453800000|MotoGP,Valentino Rossi,Sky Racing Team VR46,Monster Energy Yamaha,MotoGP 2020|Valentino Rossi Belum Perlihatkan Tanda-tanda Harus Pensiun
"KOMPAS.com- Para ahli memperkirakan jumlah  populasi  serangga di alam semakin berkurang, dan ini berkaitan dan berdampak pada keberlangsungan hidup manusia.Kendati di Indonesia, jumlah populasi secara keseluruhan belum terdata hingga saat ini, namun penurunan populasi serangga itu diperkirakan karena sulitnya menemukan ragam spesies serangga yang belum dan bahkan yang sudah teridentifikasi sub-spesiesnya.Peneliti Laboratorium Entomologi Museum Zoologicum Bogoriense (MZB) Pusat Penelitian Biologi Lembaga Ilmu Pengetahuan Indonesia (LIPI) Djunijanti Peggie mengatakan isu penurunan dan meningkatkan kritis atau  kiamat serangga ini memang sudah terlihat nyata.""Status  kiamat serangga ini memang nyata dan sangat mengkhawatirkan,"" kata Peggie dalam situs resmi LIPI, Jumat (5/6/2020).Baca juga: Krisis Iklim Bikin Serangga Penyerbuk di Ekosistem Indonesia TerancamIa juga menyebutkan ada beberapa faktor penyebab hal ini terjadi, seperti berikut.Perkiraan terjadinya penurunan populasi serangga di Indonesia ini, kata Peggie bisa terlihat dari jumlah spesies serangga yang saat ini sangat sulit untuk ditemukan.Baca juga: Kepunahan Serangga Liar Bahayakan Pasokan Pangan Dunia, Kok Bisa?Peggie mencontohkan pengurangan serangga dapat terlihat dari salah satu jenis serangga terbang yaitu kupu-kupu.Seperti kupu-kupu Graphium codrus yang tidak termasuk dalam kategori langka atau tidak terancam punah dan bukan endemik Indonesia.""Namun, dengan status bukan endemik, bukan langka dan tidak terancam punah ini pun ternyata spesimen Graphium codrus di MZB hanya ada 21 spesimen darii empat sub-spesies,"" ujar dia.Kondisi ini, kata Peggie menunjukkan bahwa menemukan kupu-kupu yang tidak langka pun sudah cukup sulit. Apalagi mendata dan memperoleh spesies yang tergolong endemik dan langka seperti Ornithoptera croesus yang merupakan spesies endemik di Maluku Utara.Ornithoptera croesus ini juga baru dimasukkan dalam daftar spesies dilindungi di Indonesia pada tahun 2018.Dalam upaya mempertahankan dan juga menjaga agar tidak terjadi penurunan populasi serangga secara drastis di Indonesia, LIPI dan Kehati terus melakukan pendataan.Kepala Bidang Zoologi Pusat Penelitian Biologi LIPI, Cahyo Rahmadi menyatakan bahwa pendataan serangga adalah upaya LIPI untuk melengkapi data kehati.Baca juga: Setelah 150 Tahun, Kupu-kupu Inggris ini Kembali dari KepunahanData ini akan menjadi salah satu dasar untuk menyatakan status kepunahan. Negara maju sudah memiliki perbandingan data serangga dari tahun ke tahun. Sedangkan di Indonesia baru sebatas memiliki koleksi spesimen.""Inilah yang dianggap sebagai kondisi kritis eksistensi serangga,” kata Cahyo.Cahyo menjelaskan, status hewan yang tidak langka dan belum masuk daftar merah belum tentu aman, karena masih sedikit orang yang memperhatikan serangga.Baca juga: Serangga Diambang Punah, Apa Dampaknya bagi Manusia?“Diperlukan perubahan perilaku masyarakat untuk menghargai keberadaan makhluk kecil tersebut,” tutur Cahyo.Agar pendataan ini bisa dilakukan dengan cepat, LIPI juga membuka kesempatan kepada masyarakat untuk berkontribusi spesies yang telah ditemukan.""Masyarakat dapat mengirimkan koleksi dalam bentuk foto spesies dengan melengkapi data tempat dan waktu ditemukan. Koleksi tersebut dapat menjadi data observasi, salah satunya dalam InaBIF,"" jelas Peggie."|1591448520000|serangga,kiamat,populasi,kupu-kupu,populasi serangga turun,serangga terancam punah,kiamat serangga|Khawatirkan Kiamat Serangga, Ini Langkah Ahli untuk Selamatkan Populasi
" MADIUN, KOMPAS.com - Jumlah pasien positif virus  corona ( Covid-19) di Kabupaten  Madiun,  Jawa Timur, hingga Sabtu (6/6/2020) mencapai 33 orang.""Total pasien yang sembuh ada 18 orang, artinya sudah mencapai setengah lebih. Semoga ke depan lebih cepat banyak yang sembuh,"" ujar Bupati Madiun Ahmad Dawami kepada wartawan. Pria yang akrab disapa Kaji Mbing ini menuturkan, rata-rata warga yang positif Covid-19 tertular dari zona merah.Dia menambahkan, sejauh ini belum ditemukan penularan dari dalam daerah.Baca juga: Heboh Pria Berkostum Spiderman Urus Pajak Kendaraan di Samsat MadiunTerakhir, kata dia, tiga warga positif Covid-19 juga tertular dari zona merah.Pasalnya, sebelum terpapar Covid-19, tiga warganya memiliki riwayat bepergian dari Surabaya. Untuk itu diminta warga yang pulang bepergian dari wilayah zona merah untuk disiplin mengisolasi diri.Tak hanya itu, warga diminta lebih disiplin mematuhi protokol kesehatan dengan rajin cuci tangan, mengenakan masker saat keluar rumah dan tetap menjaga jarak. Menurut dia, kedisiplinan mengikuti protokol kesehatan Covid-19 harus ditingkatkan untuk menyambut tatanan baru (new normal).Baca juga: Satu Pegawai Pabrik Rokok di Madiun Positif Corona, Diduga Tertular Klaster SampoernaDiketahui, hingga Sabtu (6/6/2020) jumlah warga positif 33 orang, sembuh positif Covid-19 sebanyak 18 orang, pasien dalam pengawasan 57 orang, orang dalam pemantauan 342 orang dan orang dalam resiko sebanyak 690 orang. Dari jumlah pasien positif paling banyak berasal dari kluster Pondok Temboro Magetan, diikuti kluster peserta pelatihan tenaga kesehatan haji Indonesia di Sukolilo, Surabaya.Sementara untuk penyebarannya, terdapat 10 dari 15 kecamatan di Kabupaten terpapar Covid-19."|1591453920000|Jawa Timur,Madiun,Jatim,corona,Covid-19,pasien positif corona|33 Pasien Positif Covid-19 di Madiun, 18 di Antaranya Sembuh
"KOMPAS.com - Legenda  tinju kelas berat,  Mike Tyson, memberikan pesan yang ditujukan kepada semua kaum pria tentang pentingnya peran istri.Semasa aktif, Mike Tyson dikenal sebagai salah satu  petinju tangguh.Selain garang di atas ring, Si Leher Beton juga mempunyai sisi tak terduga dalam hidupnya.Mike Tyson kerap tersandung berbagai kontroversi selama hidupnya ketika aktif menjadi petinju.Mulai kasus pemerkosaan, menikmati minuman keras melewati batas aman, dan penggunaan narkoba.Hal tersebut dikarenakan masa kecil Tyson kurang bahagia atau tak cukup mendapatkan perhatian dari keluarga.Dalam otobiografinya berjudul Undisputed Truth, Tyson menyebut rasa sakit pada masa kecilnya menyebabkan perilaku-perilaku negatif.Dewasa ini perilaku negatif tersebut bisa ditahan Tyson, bahkan tidak diulangi.Hal itu berkat pertolongan cinta pada seorang perempuan yang menjadi pendamping hidupnya.Baca juga: Eks Pelatih Ungkap Kesulitan yang Dihadapi Saat Melatih Mike Tyson Tyson mengaku hidup tanpa wanita rasanya adalah hampa sehingga menjadi alasan dirinya menikah tiga kali.Selain itu, Iron Mike menilai setiap pria yang tidak takut dengan istrinya, maka hidupnya tidak benar.""Tanpa perempuan, saya adalah seekor binatang buas,"" kata Tyson dilansir BolaSport.com dari Essentially Sport.""Saya memandang perempuan berbeda seiring bertambahnya usia. Ketika masih muda, saya melihat sebagai kesenangan.""""Sekarang saya sudah lebih tua, saya melihatnya imbang. Hal itu membuat saya sadar bahwa saya seorang pria.""""Mereka adalah guru saya. Jika seorang pria tidak punya rasa takut terhadap istrinya, maka hidupnya tidak benar.""Pria kelahiran New York ini membeberkan apa yang bisa terjadi pada dirinya apabila tidak memiliki istri.""Itulah alasan mengapa saya menikah tiga kali karena saya tidak bisa hidup tanpa istri,"" ucap Tyson.""Jika tidak punya istri, saya bisa bunuh diri. Itu nyata. Saya butuh seseorang yang mau mendengarkan.""Baca juga: Calon Lawan Mike Tyson Kecelakaan, Ditabrak Mobil Saat Bersepeda""Saya bukan tentara. Saya tidak bisa berpikir sendiri, saya butuh seseorang untuk membantu. Saya sadar diri,"" katanya melanjutkan.Sekarang Tyson telah menjalin cinta bersama Lakiha 'Kiki' Spicer setelah dua pernikahan sebelumnya gagal.Kiki dipandang penggemar tinju berhasil sabar untuk membantu Tyson bangkit perlahan dari masa keterpurukan.Hingga pada akhirnya, petinju 53 tahun ini bersedia untuk naik ke atas ring lagi. (Fauzi Handoko Arif)"|1591455000000|Mike Tyson,Petinju,tinju kelas berat|Mike Tyson: Jika Pria Tidak Takut Istri, Hidupnya Tidak Benar
 AMBON, KOMPAS.com - Wali Kota  Ambon Richard Louhenapessy menegaskan pemberlakukan sistem ganjil genap untuk angkutan kota (angkot) di Kota Ambon tetap diberlakukan.Pernyataan itu disampaikan Richard menanggapi aksi demo ratusan sopir angkot di DPRD Kota Ambon yang menuntut agar sistem ganjil genap dicabut karena merugikan para sopir.“Oh nggak  tetap akan diberlakukan sistem ganjil genap,” tegas Richard kepada wartawan, Sabtu (6/6/2020).Baca juga: 33 Pasien Positif Covid-19 di Madiun, 18 di Antaranya SembuhSelain memberlakukan sistem ganjil genap, Pemerintah Kota Ambon juga memberlakukan ketentuan bagi setiap angkot untuk mengangkut penumpang tidak lebih dari 50 persen.Kebijakan itu sendiri telah diatur dalam Peraturan Wali Kota Ambon Nomor nomor 16 tahun 2020 tentang pembatasan kegiatan masyarakat ditengah pandemi  Covid-19 di Kota Ambon.Pemberlakukan kegiatan masyarakat Kota Ambon sendiri akan mulai diterapkan pada Sabtu (6/6/2020) pekan depan.“Jadi tetap dilakukan juga protokol kesehatan, untuk angkutan masimal 50 persen baik angkutan umum maupun kendaraan pribadi. Jadi kalau misalnya mobil jenis sedan itu muat lima penumpang jadinya hanya tiga, sedangkan mobil tipe MPV yang muat 8 penumpang, cuma bisa muat 4 orang,” ungkapnya.Baca juga: PKM Diberlakukan, Pendatang Masuk Ambon Wajib Kantongi Surat SehatKhusus untuk angkutan ojek, kata Richard, para penumpang harus menyiapkan sendiri helm atau pelindung kepala.“Kami imbau penumpangnya itu bawa helm sendiri jadi tidak boleh lagi pakai helm yang disiapkan tukang ojek. Kita juga ada upayakan agar ada pembatas di belakang tukang ojek dengan penumpang,” ungkapnya.|1591454640000|Ambon,Wali Kota Ambon Richard Louhenapessy,corona,Covid-19|Sistem Ganjil Genap untuk Sopir Angkot di Kota Ambon Tetap Diberlakukan
